username,location,text
HKSFMinerva,"North-Eastern Singapore, ASEAN","RT @nnnnoooo007: UberEats in TAIWAN

https://t.co/vmPFySwiSp https://t.co/nyTN4NRubV"
brianxdin,"Long Beach, CA","RT @kingqueefy: If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta cart for gr…"
Christmas_Hams,Cleveland ,@htsgirl24 @UberEats I only order through DoorDash now uber always fucking up
alley167,"Ohio, USA","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
cupcakescloud,Maryland,@UberEats trying to resolve an issue of not receiving my food via your “live chat” and email. Why can’t I reach anyone??
ShieldVoC,"Stockholm, Sweden",RT @yungstudley: Don’t use @Uber_Support they literally have stolen the tips from me multiple times and on top they charged me for a whole…
Beefybeef911,"Katlehong jozi, south africa!","RT @lec_catering: Today's menu 😋😋

● Chuck steak R65
● Mala Le Matoana : R30
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around…"
siireddie,"New York, NY",What the fuck @UberEats I’m allergic to onions and clearly asked for no onions or pickles and I stated I’m allergic https://t.co/Dj6Y8WRBwY
jdubdiefly,Interstate 357,I swear @UberEats is horrible 🤬🤬🤬
yungstudley,,Don’t use @Uber_Support they literally have stolen the tips from me multiple times and on top they charged me for a… https://t.co/PyVFCKsXe1
PaulMinor4real,"Las Vegas, NV",@EleniRannis @UberEats Sounds like Uber eats being lazy!
shubham_sinha95,"New Delhi, India","Realization after months of staying at home: 
Netflix and UberEats =  pleasure 
A movie in a theatre and dine out =… https://t.co/IhemqAUvTb"
EleniRannis,"Los Angeles, CA","Yo @UberEats every fucking time I order, my order takes over an hour and a half to get to me??? What the fuck is going on?"
lanhevahl,arkn / oc / dnd,RT @drilknights: handing 6000 radioactive  Rocks to hr because how else will i get the ubereats girl to. shoot SLUGS up for me
err_707,He/they • 21 • infp / type 9,Subway finally added the vegan cheese to Ubereats heck yeah I’m getting subway next week
Bearded_Bob,,"@UberEats  I don't want to re-order the same thing every time, how about making these clickable to take me to that restaurants page?"
P_Mapheto,,@Uber_RSA same question stated above to you also😭💔 #UberEats
_PapitoB,water based tea,"RT @professor_mgw: Lit so all imma say is 

nigga fuck ultimate
also fuck melee TOO nigga RELAX stop sucking that game's dick like god sent…"
Insomniac2430,South Africa,"@Lino_Lauza @Thubz_ @Kea_AM @Karabo_Mokgoko @UberEats True. But if they keep it that way, in the long run they will… https://t.co/ulIcrltp02"
PopeDave8,The Vatican,@ChalupaBatmanGG @UberEats I always wondered where these companies draw the line when it comes to being cheeky with… https://t.co/tYNCCHKnWt
PennywiseMyers,Floating with Pennywise! 🎈,"Seriously, @UberEats? You just upped the delivery charges again? $9 delivery fees for restaurants that are only in… https://t.co/a7pTkoI64g"
HeyMyNameIsTwey,,Tryna UberEats some spaghetti tacos @ iCarly
wasup_Caramell,Down Souf ⚜️Louisiana⚜️,I went from eating a 8oz sirloin from Applebee’s to ramen fuckin noodles thanks to @UberEats 🖕🏽
J00NSWORLD,she/her,@lyqhwa that happened to me with ubereats and then they cancelled my order😭
TheSwampFox_76,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
djsbu,Global,"RT @lec_catering: Today's menu 😋😋

● Chuck steak R65
● Mala Le Matoana : R30
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around…"
nancyleeca,United States,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
SportsBookieSF,"San Francisco, CA","Switch over to UberEats lol 

You can get $7 off the whole order. It's more worth it if you pick it up in person.… https://t.co/i9jAj208d3"
jajosogo,415,@rethreay @jisungoof send the addy. ubereats
spyjeno,"she/they, 17",does anyone want to ubereats me mod podge
chanelrosee,chicago. ,I can’t wait for this ubereats to get here so I can fully get in my relaxing mode lol
tjaackss_,texas,RT @abrhernandez2: turned into an ubereats driver for my friends and it honestly just made me miss them more :(
tburton888,,my last time ordering from @UberEats they never get anything right 🙄🙄
CaptVibeOnDeck,Watching Bleach at your moms ,"RT @kingqueefy: If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta cart for gr…"
bronwynnewman,South Africa,"RT @CapeTalk: ""Every time you order you pay a delivery fee… On top of that, #UberEats still charges the restaurants around 30%... It’s arou…"
abrhernandez2,(she/her)(20),turned into an ubereats driver for my friends and it honestly just made me miss them more :(
taispy,"Taipei, Taiwan",The narrative UberEats continues to spin to get people to “show support” &amp; “stay safe” may be appealing in the US w… https://t.co/H5xPtPS51C
DelaneyMTSU,,"Vultures are eating well it seems: ""The pandemic has given rise to delivery at restaurants of all types, but for ev… https://t.co/SpMqee47jE"
